2020-09-01 07:04:44 status half-installed findutils:amd64 4.6.0+git+20190209-2
2020-09-01 07:04:45 status unpacked findutils:amd64 4.6.0+git+20190209-2
2020-09-01 07:04:45 install gcc-8-base:amd64 <none> 8.3.0-6
2020-09-01 07:04:45 status half-installed gcc-8-base:amd64 8.3.0-6
2020-09-01 07:04:45 status unpacked gcc-8-base:amd64 8.3.0-6
2020-09-01 07:04:46 install libgcc1:amd64 <none> 1:8.3.0-6
2020-09-01 07:04:46 status half-installed libgcc1:amd64 1:8.3.0-6
2020-09-01 07:04:46 status unpacked libgcc1:amd64 1:8.3.0-6
2020-09-01 07:04:46 install libstdc++6:amd64 <none> 8.3.0-6
2020-09-01 07:04:46 status half-installed libstdc++6:amd64 8.3.0-6
2020-09-01 07:04:47 status unpacked libstdc++6:amd64 8.3.0-6
2020-09-01 07:04:47 install libc-bin:amd64 <none> 2.28-10
2020-09-01 07:04:47 status half-installed libc-bin:amd64 2.28-10
2020-09-01 07:04:48 status unpacked libc-bin:amd64 2.28-10
2020-09-01 07:04:48 upgrade libc6:amd64 2.28-10 2.28-10
2020-09-01 07:04:48 status half-configured libc6:amd64 2.28-10
2020-09-01 07:04:48 status unpacked libc6:amd64 2.28-10
2020-09-01 07:04:48 status half-installed libc6:amd64 2.28-10
2020-09-01 07:04:50 status unpacked libc6:amd64 2.28-10
2020-09-01 07:04:50 install libgmp10:amd64 <none> 2:6.1.2+dfsg-4
2020-09-01 07:04:50 status half-installed libgmp10:amd64 2:6.1.2+dfsg-4
2020-09-01 07:04:50 status unpacked libgmp10:amd64 2:6.1.2+dfsg-4
2020-09-01 07:04:50 install gpgv:amd64 <none> 2.2.12-1+deb10u1
2020-09-01 07:04:50 status half-installed gpgv:amd64 2.2.12-1+deb10u1
2020-09-01 07:04:51 status unpacked gpgv:amd64 2.2.12-1+deb10u1
2020-09-01 07:04:51 install libgnutls30:amd64 <none> 3.6.7-4+deb10u5
2020-09-01 07:04:51 status half-installed libgnutls30:amd64 3.6.7-4+deb10u5
2020-09-01 07:04:51 status unpacked libgnutls30:amd64 3.6.7-4+deb10u5
2020-09-01 07:04:52 install grep:amd64 <none> 3.3-1
2020-09-01 07:04:52 status half-installed grep:amd64 3.3-1
2020-09-01 07:04:52 status unpacked grep:amd64 3.3-1
2020-09-01 07:04:53 install gzip:amd64 <none> 1.9-3
2020-09-01 07:04:53 status half-installed gzip:amd64 1.9-3
2020-09-01 07:04:53 status unpacked gzip:amd64 1.9-3
2020-09-01 07:04:53 install hostname:amd64 <none> 3.21
2020-09-01 07:04:53 status half-installed hostname:amd64 3.21
2020-09-01 07:04:53 status unpacked hostname:amd64 3.21
2020-09-01 07:04:54 install init-system-helpers:all <none> 1.56+nmu1
2020-09-01 07:04:54 status half-installed init-system-helpers:all 1.56+nmu1
2020-09-01 07:04:54 status unpacked init-system-helpers:all 1.56+nmu1
2020-09-01 07:04:54 install libcap-ng0:amd64 <none> 0.7.9-2
2020-09-01 07:04:54 status half-installed libcap-ng0:amd64 0.7.9-2
2020-09-01 07:04:54 status unpacked libcap-ng0:amd64 0.7.9-2
2020-09-01 07:04:55 install libffi6:amd64 <none> 3.2.1-9
2020-09-01 07:04:55 status half-installed libffi6:amd64 3.2.1-9
2020-09-01 07:04:55 status unpacked libffi6:amd64 3.2.1-9
2020-09-01 07:04:55 install libgcrypt20:amd64 <none> 1.8.4-5
2020-09-01 07:04:55 status half-installed libgcrypt20:amd64 1.8.4-5
2020-09-01 07:04:56 status unpacked libgcrypt20:amd64 1.8.4-5
2020-09-01 07:04:56 install libgpg-error0:amd64 <none> 1.35-1
2020-09-01 07:04:56 status half-installed libgpg-error0:amd64 1.35-1
2020-09-01 07:04:56 status unpacked libgpg-error0:amd64 1.35-1
2020-09-01 07:04:57 install libidn2-0:amd64 <none> 2.0.5-1+deb10u1
2020-09-01 07:04:57 status half-installed libidn2-0:amd64 2.0.5-1+deb10u1
2020-09-01 07:04:57 status unpacked libidn2-0:amd64 2.0.5-1+deb10u1
2020-09-01 07:04:57 install libseccomp2:amd64 <none> 2.3.3-4
2020-09-01 07:04:57 status half-installed libseccomp2:amd64 2.3.3-4
2020-09-01 07:04:58 status unpacked libseccomp2:amd64 2.3.3-4
2020-09-01 07:04:58 install libselinux1:amd64 <none> 2.8-1+b1
2020-09-01 07:04:58 status half-installed libselinux1:amd64 2.8-1+b1
2020-09-01 07:04:58 status unpacked libselinux1:amd64 2.8-1+b1
2020-09-01 07:04:58 install libsemanage-common:all <none> 2.8-2
2020-09-01 07:04:58 status half-installed libsemanage-common:all 2.8-2
2020-09-01 07:04:59 status unpacked libsemanage-common:all 2.8-2
2020-09-01 07:04:59 install libsemanage1:amd64 <none> 2.8-2
2020-09-01 07:04:59 status half-installed libsemanage1:amd64 2.8-2
2020-09-01 07:04:59 status unpacked libsemanage1:amd64 2.8-2
2020-09-01 07:05:00 install libsepol1:amd64 <none> 2.8-1
2020-09-01 07:05:00 status half-installed libsepol1:amd64 2.8-1
2020-09-01 07:05:00 status unpacked libsepol1:amd64 2.8-1
2020-09-01 07:05:00 install libtasn1-6:amd64 <none> 4.13-3
2020-09-01 07:05:00 status half-installed libtasn1-6:amd64 4.13-3
2020-09-01 07:05:01 status unpacked libtasn1-6:amd64 4.13-3
2020-09-01 07:05:01 install libunistring2:amd64 <none> 0.9.10-1
2020-09-01 07:05:01 status half-installed libunistring2:amd64 0.9.10-1
2020-09-01 07:05:01 status unpacked libunistring2:amd64 0.9.10-1
2020-09-01 07:05:02 install libzstd1:amd64 <none> 1.3.8+dfsg-3
2020-09-01 07:05:02 status half-installed libzstd1:amd64 1.3.8+dfsg-3
2020-09-01 07:05:02 status unpacked libzstd1:amd64 1.3.8+dfsg-3
2020-09-01 07:05:02 install liblz4-1:amd64 <none> 1.8.3-1
2020-09-01 07:05:02 status half-installed liblz4-1:amd64 1.8.3-1
2020-09-01 07:05:02 status unpacked liblz4-1:amd64 1.8.3-1
2020-09-01 07:05:03 upgrade mawk:amd64 1.3.3-17+b3 1.3.3-17+b3
2020-09-01 07:05:03 status half-configured mawk:amd64 1.3.3-17+b3
2020-09-01 07:05:03 status unpacked mawk:amd64 1.3.3-17+b3
2020-09-01 07:05:03 status half-installed mawk:amd64 1.3.3-17+b3
2020-09-01 07:05:03 status unpacked mawk:amd64 1.3.3-17+b3
2020-09-01 07:05:04 install libncursesw6:amd64 <none> 6.1+20181013-2+deb10u2
2020-09-01 07:05:04 status half-installed libncursesw6:amd64 6.1+20181013-2+deb10u2
2020-09-01 07:05:04 status unpacked libncursesw6:amd64 6.1+20181013-2+deb10u2
2020-09-01 07:05:04 install libtinfo6:amd64 <none> 6.1+20181013-2+deb10u2
2020-09-01 07:05:04 status half-installed libtinfo6:amd64 6.1+20181013-2+deb10u2
2020-09-01 07:05:04 status unpacked libtinfo6:amd64 6.1+20181013-2+deb10u2
2020-09-01 07:05:05 install ncurses-base:all <none> 6.1+20181013-2+deb10u2
2020-09-01 07:05:05 status half-installed ncurses-base:all 6.1+20181013-2+deb10u2
2020-09-01 07:05:05 status unpacked ncurses-base:all 6.1+20181013-2+deb10u2
2020-09-01 07:05:05 install ncurses-bin:amd64 <none> 6.1+20181013-2+deb10u2
2020-09-01 07:05:05 status half-installed ncurses-bin:amd64 6.1+20181013-2+deb10u2
2020-09-01 07:05:05 status unpacked ncurses-bin:amd64 6.1+20181013-2+deb10u2
2020-09-01 07:05:06 install libhogweed4:amd64 <none> 3.4.1-1
2020-09-01 07:05:06 status half-installed libhogweed4:amd64 3.4.1-1
2020-09-01 07:05:06 status unpacked libhogweed4:amd64 3.4.1-1
2020-09-01 07:05:07 install libnettle6:amd64 <none> 3.4.1-1
2020-09-01 07:05:07 status half-installed libnettle6:amd64 3.4.1-1
2020-09-01 07:05:07 status unpacked libnettle6:amd64 3.4.1-1
2020-09-01 07:05:07 install libp11-kit0:amd64 <none> 0.23.15-2
2020-09-01 07:05:07 status half-installed libp11-kit0:amd64 0.23.15-2
2020-09-01 07:05:07 status unpacked libp11-kit0:amd64 0.23.15-2
2020-09-01 07:05:08 install libpam-modules:amd64 <none> 1.3.1-5
2020-09-01 07:05:08 status half-installed libpam-modules:amd64 1.3.1-5
2020-09-01 07:05:09 status unpacked libpam-modules:amd64 1.3.1-5
2020-09-01 07:05:09 install libpam-modules-bin:amd64 <none> 1.3.1-5
2020-09-01 07:05:09 status half-installed libpam-modules-bin:amd64 1.3.1-5
2020-09-01 07:05:09 status unpacked libpam-modules-bin:amd64 1.3.1-5
2020-09-01 07:05:09 install libpam-runtime:all <none> 1.3.1-5
2020-09-01 07:05:09 status half-installed libpam-runtime:all 1.3.1-5
2020-09-01 07:05:10 status unpacked libpam-runtime:all 1.3.1-5
2020-09-01 07:05:10 install libpam0g:amd64 <none> 1.3.1-5
2020-09-01 07:05:10 status half-installed libpam0g:amd64 1.3.1-5
2020-09-01 07:05:11 status unpacked libpam0g:amd64 1.3.1-5
2020-09-01 07:05:11 install libpcre3:amd64 <none> 2:8.39-12
2020-09-01 07:05:11 status half-installed libpcre3:amd64 2:8.39-12
2020-09-01 07:05:11 status unpacked libpcre3:amd64 2:8.39-12
2020-09-01 07:05:12 upgrade perl-base:amd64 5.28.1-6+deb10u1 5.28.1-6+deb10u1
2020-09-01 07:05:12 status half-configured perl-base:amd64 5.28.1-6+deb10u1
2020-09-01 07:05:12 status unpacked perl-base:amd64 5.28.1-6+deb10u1
2020-09-01 07:05:12 status half-installed perl-base:amd64 5.28.1-6+deb10u1
2020-09-01 07:05:12 status unpacked perl-base:amd64 5.28.1-6+deb10u1
2020-09-01 07:05:13 install sed:amd64 <none> 4.7-1
